row_id,image_id,width,height,bbox,class_id
train_00000001_0000,00000001.jpg,1920,1080,"[967.5,331.5,463.0,447.0]",3
train_00000001_0001,00000001.jpg,1920,1080,"[724.5,336.5,324.0,412.0]",3
train_00000001_0002,00000001.jpg,1920,1080,"[430.5,390.5,249.0,457.0]",4
train_00000001_0003,00000001.jpg,1920,1080,"[1199.0,5.5,208.0,282.0]",3
train_00000001_0004,00000001.jpg,1920,1080,"[980.0,5.5,273.0,285.0]",3
train_00000001_0005,00000001.jpg,1920,1080,"[827.0,4.0,257.0,255.0]",3
train_00000002_0000,00000002.jpg,1920,1080,"[968.0,326.5,446.0,461.0]",3
train_00000002_0001,00000002.jpg,1920,1080,"[612.0,376.0,258.0,371.0]",3
train_00000002_0002,00000002.jpg,1920,1080,"[1204.5,5.5,193.0,288.0]",3
train_00000002_0003,00000002.jpg,1920,1080,"[432.0,390.0,224.0,453.0]",4
train_00000002_0004,00000002.jpg,1920,1080,"[604.2,0.0,196.7,282.3]",3
train_00000002_0005,00000002.jpg,1920,1080,"[963.5,5.0,286.0,236.0]",3
train_00000002_0006,00000002.jpg,1920,1080,"[808.3,0.0,276.7,260.0]",3
train_00000003_0000,00000003.jpg,1920,1080,"[620.0,420.0,221.0,445.0]",4
train_00000003_0001,00000003.jpg,1920,1080,"[934.5,543.5,502.0,409.0]",3
train_00000003_0002,00000003.jpg,1920,1080,"[421.0,384.5,235.0,467.0]",4
train_00000003_0003,00000003.jpg,1920,1080,"[914.5,6.0,460.0,332.0]",3
train_00000003_0004,00000003.jpg,1920,1080,"[626.3,0.0,271.7,199.3]",3
train_00000003_0005,00000003.jpg,1920,1080,"[845.0,0.0,220.0,275.0]",3
train_00000004_0000,00000004.jpg,1920,1080,"[937.0,547.5,499.0,406.0]",3
train_00000004_0001,00000004.jpg,1920,1080,"[619.0,416.5,221.0,435.0]",4
train_00000004_0002,00000004.jpg,1920,1080,"[749.5,229.5,557.0,261.0]",3
train_00000004_0003,00000004.jpg,1920,1080,"[419.5,384.5,237.0,461.0]",4
train_00000004_0004,00000004.jpg,1920,1080,"[569.0,3.5,192.0,284.0]",3
train_00000004_0005,00000004.jpg,1920,1080,"[728.2,0.0,239.7,266.3]",3
train_00000004_0006,00000004.jpg,1920,1080,"[827.7,5.0,243.3,254.0]",3
train_00000005_0000,00000005.jpg,1920,1080,"[604.0,339.0,494.0,396.0]",3
train_00000005_0001,00000005.jpg,1920,1080,"[1356.0,637.0,394.0,443.0]",4
train_00000005_0002,00000005.jpg,1920,1080,"[1080.0,28.0,306.0,254.0]",3
train_00000005_0003,00000005.jpg,1920,1080,"[623.0,176.0,347.0,315.0]",3
train_00000005_0004,00000005.jpg,1920,1080,"[641.0,41.0,363.0,243.0]",3
train_00000005_0005,00000005.jpg,1920,1080,"[939.0,48.0,211.0,335.0]",3
train_00000006_0000,00000006.jpg,1920,1080,"[580.0,357.0,469.0,463.0]",3
train_00000006_0001,00000006.jpg,1920,1080,"[1264.0,141.0,250.0,438.0]",3
train_00000006_0002,00000006.jpg,1920,1080,"[1356.0,638.0,393.0,442.0]",4
train_00000006_0003,00000006.jpg,1920,1080,"[954.0,54.0,139.0,323.0]",3
train_00000006_0004,00000006.jpg,1920,1080,"[582.0,97.0,214.0,383.0]",3
train_00000006_0005,00000006.jpg,1920,1080,"[656.0,137.0,269.0,392.0]",3
train_00000007_0000,00000007.jpg,1920,1080,"[738.0,488.0,550.0,550.0]",3
train_00000007_0001,00000007.jpg,1920,1080,"[1357.0,639.0,394.0,441.0]",4
train_00000007_0002,00000007.jpg,1920,1080,"[576.0,357.0,447.0,505.0]",3
train_00000007_0003,00000007.jpg,1920,1080,"[960.0,6.0,172.0,386.0]",3
train_00000007_0004,00000007.jpg,1920,1080,"[652.0,133.0,259.0,406.0]",3
train_00000007_0005,00000007.jpg,1920,1080,"[563.0,108.0,215.0,329.0]",3
train_00000008_0000,00000008.jpg,1920,1080,"[575.0,363.0,466.0,492.0]",3
train_00000008_0001,00000008.jpg,1920,1080,"[1356.0,639.0,394.0,441.0]",4
